offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-9.348370927318297618e+03,4.999999999999999432e+02,-9.468261370551061873e+00,-9.468261370551061873e+00,-4.219479358117739321e+04,-4.219479358117739321e+04,-2.151996232766230605e+03,-2.151996232766230605e+03,-4.219109663313898636e+04,-1.827195512742509020e+00,-2.145550020719834265e+03
-9.398496240601503814e+03,4.999999999999999432e+02,-9.468352179029352556e+00,-9.468352179029352556e+00,-4.219479363556436147e+04,-4.219479363556436147e+04,-2.151996305753476918e+03,-2.151996305753476918e+03,-4.219109648657973594e+04,-1.827011229363371347e+00,-2.145549915197122118e+03
-9.448621553884713649e+03,4.999999999999999432e+02,-9.468441553108391417e+00,-9.468441553108391417e+00,-4.219479368902635179e+04,-4.219479368902635179e+04,-2.151996377850498902e+03,-2.151996377850498902e+03,-4.219109634216705308e+04,-1.826829893226795232e+00,-2.145549811079852134e+03
-9.498746867167919845e+03,4.999999999999999432e+02,-9.468529522790959163e+00,-9.468529522790959163e+00,-4.219479374158321298e+04,-4.219479374158321298e+04,-2.151996449071746611e+03,-2.151996449071746611e+03,-4.219109619985886820e+04,-1.826651441828128553e+00,-2.145549708343913608e+03
-9.548872180451129680e+03,4.999999999999999432e+02,-9.468616117333795046e+00,-9.468616117333795046e+00,-4.219479379325448826e+04,-4.219479379325448826e+04,-2.151996519431151683e+03,-2.151996519431151683e+03,-4.219109605961405759e+04,-1.826475814350056570e+00,-2.145549606965681505e+03
-9.598997493734335876e+03,4.999999999999999432e+02,-9.468701365217384591e+00,-9.468701365217384591e+00,-4.219479384405919700e+04,-4.219479384405919700e+04,-2.151996588942446579e+03,-2.151996588942446579e+03,-4.219109592139277083e+04,-1.826302951540695885e+00,-2.145549506922019646e+03
-9.649122807017545711e+03,4.999999999999999432e+02,-9.468785294205190439e+00,-9.468785294205190439e+00,-4.219479389401564549e+04,-4.219479389401564549e+04,-2.151996657619143662e+03,-2.151996657619143662e+03,-4.219109578515599424e+04,-1.826132795674948239e+00,-2.145549408190256599e+03
-9.699248120300751907e+03,4.999999999999999432e+02,-9.468867931369914004e+00,-9.468867931369914004e+00,-4.219479394314199453e+04,-4.219479394314199453e+04,-2.151996725474462437e+03,-2.151996725474462437e+03,-4.219109565086554358e+04,-1.825965290546196718e+00,-2.145549310748177959e+03
-9.749373433583961742e+03,4.999999999999999432e+02,-9.468949303045064880e+00,-9.468949303045064880e+00,-4.219479399145576463e+04,-4.219479399145576463e+04,-2.151996792521320458e+03,-2.151996792521320458e+03,-4.219109551848433330e+04,-1.825800381444480758e+00,-2.145549214574024063e+03
-9.799498746867167938e+03,4.999999999999999432e+02,-9.469029434893855068e+00,-9.469029434893855068e+00,-4.219479403897390875e+04,-4.219479403897390875e+04,-2.151996858772399719e+03,-2.151996858772399719e+03,-4.219109538797595451e+04,-1.825638014988256064e+00,-2.145549119646464987e+03
