offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-3.182957393483708984e+03,5.000000000000000000e+02,2.301405173167542006e+00,0.000000000000000000e+00,2.221553646133602911e+01,0.000000000000000000e+00,9.998978842107493215e-01
-3.132832080200500968e+03,5.000000000000000000e+02,2.347756267692474363e+00,0.000000000000000000e+00,2.345928617691393470e+01,0.000000000000000000e+00,9.998898631747745736e-01
-3.082706766917292953e+03,5.000000000000000000e+02,2.399481095137304898e+00,0.000000000000000000e+00,2.480702750083143826e+01,0.000000000000000000e+00,9.998817505882005019e-01
-3.032581453634084937e+03,5.000000000000000000e+02,2.456916979059255990e+00,0.000000000000000000e+00,2.625453506036920714e+01,0.000000000000000000e+00,9.998737546815458233e-01
-2.982456140350876922e+03,5.000000000000000000e+02,2.520237385816762377e+00,0.000000000000000000e+00,2.779061036224571524e+01,0.000000000000000000e+00,9.998661271017003083e-01
-2.932330827067668906e+03,5.000000000000000000e+02,2.589355091746657678e+00,0.000000000000000000e+00,2.939469387961857194e+01,0.000000000000000000e+00,9.998591419156374061e-01
-2.882205513784460891e+03,5.000000000000000000e+02,2.663806929103484489e+00,0.000000000000000000e+00,3.103447454398927619e+01,0.000000000000000000e+00,9.998530547360621190e-01
-2.832080200501252875e+03,5.000000000000000000e+02,2.742633664569170016e+00,0.000000000000000000e+00,3.266405190411221326e+01,0.000000000000000000e+00,9.998480401114416827e-01
-2.781954887218044860e+03,5.000000000000000000e+02,2.824281454717621820e+00,0.000000000000000000e+00,3.422348574005705757e+01,0.000000000000000000e+00,9.998441138537247364e-01
-2.731829573934836844e+03,5.000000000000000000e+02,2.906564378708813567e+00,0.000000000000000000e+00,3.564073409733973818e+01,0.000000000000000000e+00,9.998410604257040868e-01
-2.681704260651628829e+03,5.000000000000000000e+02,2.986733318481065602e+00,0.000000000000000000e+00,3.683682160508659109e+01,0.000000000000000000e+00,9.998383991317736363e-01
-2.631578947368420813e+03,5.000000000000000000e+02,3.061684828673483239e+00,0.000000000000000000e+00,3.773439476422704075e+01,0.000000000000000000e+00,9.998354261261177545e-01
-2.581453634085212798e+03,5.000000000000000000e+02,3.128307953336733949e+00,0.000000000000000000e+00,3.826861254174864513e+01,0.000000000000000000e+00,9.998313503430173999e-01
-2.531328320802004782e+03,5.000000000000000000e+02,3.183913308700916378e+00,0.000000000000000000e+00,3.839798774807766080e+01,0.000000000000000000e+00,9.998254992192286972e-01
-2.481203007518796767e+03,5.000000000000000000e+02,3.226640568172142398e+00,0.000000000000000000e+00,3.811208527933643353e+01,0.000000000000000000e+00,9.998175242096059012e-01
-2.431077694235588751e+03,5.000000000000000000e+02,3.255728512233771355e+00,0.000000000000000000e+00,3.743355295204899136e+01,0.000000000000000000e+00,9.998075201132068379e-01
-2.380952380952380736e+03,5.000000000000000000e+02,3.271571355681524906e+00,0.000000000000000000e+00,3.641377896750748278e+01,0.000000000000000000e+00,9.997960057429345904e-01
-2.330827067669172720e+03,5.000000000000000000e+02,3.275559540883957066e+00,0.000000000000000000e+00,3.512366217618232866e+01,0.000000000000000000e+00,9.997837788583022745e-01
-2.280701754385964705e+03,5.000000000000000000e+02,3.269773127596481199e+00,0.000000000000000000e+00,3.364239960513483396e+01,0.000000000000000000e+00,9.997717126415133215e-01
-2.230576441102756689e+03,5.000000000000000000e+02,3.256627768584261062e+00,0.000000000000000000e+00,3.204724731232062140e+01,0.000000000000000000e+00,9.997605722227727032e-01
-2.180451127819548674e+03,5.000000000000000000e+02,3.238560956712036365e+00,0.000000000000000000e+00,3.040617392736776026e+01,0.000000000000000000e+00,9.997509016255223813e-01
-2.130325814536340658e+03,5.000000000000000000e+02,3.217808147303719224e+00,0.000000000000000000e+00,2.877396386057026945e+01,0.000000000000000000e+00,9.997429904376660126e-01
-2.080200501253132643e+03,5.000000000000000000e+02,3.196278726403317449e+00,0.000000000000000000e+00,2.719128917531369538e+01,0.000000000000000000e+00,9.997369004570514361e-01
-2.030075187969924627e+03,5.000000000000000000e+02,3.175515523562556730e+00,0.000000000000000000e+00,2.568579460496012246e+01,0.000000000000000000e+00,9.997325229784459477e-01
-1.979949874686716612e+03,5.000000000000000000e+02,3.156711280262167740e+00,0.000000000000000000e+00,2.427422963785084420e+01,0.000000000000000000e+00,9.997296420166680297e-01
-1.929824561403508596e+03,5.000000000000000000e+02,3.140756530671721780e+00,0.000000000000000000e+00,2.296489198296822565e+01,0.000000000000000000e+00,9.997279887669315857e-01
-1.879699248120300581e+03,5.000000000000000000e+02,3.128299638813113237e+00,0.000000000000000000e+00,2.175993001380765079e+01,0.000000000000000000e+00,9.997272815165308968e-01
