offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
3.934837092731829216e+03,8.000000000000000000e+02,-1.591245032426741091e+01,-1.591245032426741091e+01,-4.218608079430115322e+04,-4.218608079430115322e+04,-4.218651715279779455e+04,-2.151640460733304280e+03,-2.151640460733304280e+03,-2.584253540092029233e+00,-2.146371182944699740e+03
3.884711779448621201e+03,8.000000000000000000e+02,-1.590479698515355267e+01,-1.590479698515355267e+01,-4.218595998417539522e+04,-4.218595998417539522e+04,-4.218675850365140650e+04,-2.151626844487241215e+03,-2.151626844487241215e+03,-2.601274790291990158e+00,-2.146396970262747345e+03
3.834586466165413185e+03,8.000000000000000000e+02,-1.589687846560173057e+01,-1.589687846560173057e+01,-4.218584492862527259e+04,-4.218584492862527259e+04,-4.218698835209043318e+04,-2.151612534754805893e+03,-2.151612534754805893e+03,-2.618915304617277506e+00,-2.146424048913655042e+03
3.784461152882205170e+03,8.000000000000000000e+02,-1.588868213906971505e+01,-1.588868213906971505e+01,-4.218573587030396448e+04,-4.218573587030396448e+04,-4.218720621302124346e+04,-2.151597484489685939e+03,-2.151597484489685939e+03,-2.637208341860080019e+00,-2.146452504771420081e+03
3.734335839598997154e+03,8.000000000000000000e+02,-1.588019461026487988e+01,-1.588019461026487988e+01,-4.218563287735202903e+04,-4.218563287735202903e+04,-4.218741195036599674e+04,-2.151581642758354064e+03,-2.151581642758354064e+03,-2.656189540481009637e+00,-2.146482430652174116e+03
3.684210526315789139e+03,8.000000000000000000e+02,-1.587140165869641351e+01,-1.587140165869641351e+01,-4.218553588797396515e+04,-4.218553588797396515e+04,-4.218760568790859543e+04,-2.151564954373843648e+03,-2.151564954373843648e+03,-2.675897128154602456e+00,-2.146513926950308360e+03
3.634085213032581123e+03,8.000000000000000000e+02,-1.586228817704960647e+01,-1.586228817704960647e+01,-4.218544474693390657e+04,-4.218544474693390657e+04,-4.218778773630361684e+04,-2.151547359492705709e+03,-2.151547359492705709e+03,-2.696372153026141749e+00,-2.146547102336042826e+03
3.583959899749373108e+03,8.000000000000000000e+02,-1.585283810473629273e+01,-1.585283810473629273e+01,-4.218535923466821987e+04,-4.218535923466821987e+04,-4.218795853485162661e+04,-2.151528793171648431e+03,-2.151528793171648431e+03,-2.717658739256731071e+00,-2.146582074519881644e+03
3.533834586466165092e+03,8.000000000000000000e+02,-1.584303435521178471e+01,-1.584303435521178471e+01,-4.218527908998505154e+04,-4.218527908998505154e+04,-4.218811860609963333e+04,-2.151509184880143948e+03,-2.151509184880143948e+03,-2.739804369906522652e+00,-2.146618971089541901e+03
3.483709273182956622e+03,8.000000000000000000e+02,-1.583285873727800208e+01,-1.583285873727800208e+01,-4.218520402739313431e+04,-4.218520402739313431e+04,-4.218826852118392708e+04,-2.151488457965126145e+03,-2.151488457965126145e+03,-2.762860199983839582e+00,-2.146657930425031736e+03
3.433583959899749516e+03,8.000000000000000000e+02,-1.582229186889162520e+01,-1.582229186889162520e+01,-4.218513375005362468e+04,-4.218513375005362468e+04,-4.218840887392600416e+04,-2.151466529063842245e+03,-2.151466529063842245e+03,-2.786881403761714004e+00,-2.146699102697462422e+03
3.383458646616541500e+03,8.000000000000000000e+02,-1.581131308372232525e+01,-1.581131308372232525e+01,-4.218506795924368635e+04,-4.218506795924368635e+04,-4.218854026190672448e+04,-2.151443307461001496e+03,-2.151443307461001496e+03,-2.811927559784172637e+00,-2.146742650956768557e+03
3.333333333333333030e+03,8.000000000000000000e+02,-4.218500636108801700e+04,-4.218500636108801700e+04,-4.218866327300196281e+04,-1.579990032890430030e+01,-1.579990032890430030e+01,-2.151418694386387870e+03,-2.151418694386387870e+03,-2.838063078597081734e+00,-2.146788752312857014e+03
3.283208020050125015e+03,8.000000000000000000e+02,-4.218494867118904222e+04,-4.218494867118904222e+04,-4.218877847612404003e+04,-1.578803005339523224e+01,-1.578803005339523224e+01,-2.151392582249924999e+03,-2.151392582249924999e+03,-2.865357677898515032e+00,-2.146837599213440171e+03
3.233082706766916999e+03,8.000000000000000000e+02,-4.218489461766036402e+04,-4.218489461766036402e+04,-4.218888641515382915e+04,-1.577567708603828578e+01,-1.577567708603828578e+01,-2.151364853811487592e+03,-2.151364853811487592e+03,-2.893886910462459383e+00,-2.146889400819950879e+03
3.182957393483708984e+03,8.000000000000000000e+02,-4.218484394296839309e+04,-4.218484394296839309e+04,-4.218898760525861871e+04,-1.576281450218266400e+01,-1.576281450218266400e+01,-2.151335381284460709e+03,-2.151335381284460709e+03,-2.923732751250970985e+00,-2.146944384480043027e+03
3.132832080200500968e+03,8.000000000000000000e+02,-4.218479640489659505e+04,-4.218479640489659505e+04,-4.218908253096359840e+04,-1.574941347743515507e+01,-1.574941347743515507e+01,-2.151304025373719924e+03,-2.151304025373719924e+03,-2.954984249852955269e+00,-2.147002797291109346e+03
3.082706766917292953e+03,8.000000000000000000e+02,-4.218475177687599353e+04,-4.218475177687599353e+04,-4.218917164549076551e+04,-1.573544312753847407e+01,-1.573544312753847407e+01,-2.151270634251522551e+03,-2.151270634251522551e+03,-2.987738255703818346e+00,-2.147064907743438653e+03
3.032581453634084937e+03,8.000000000000000000e+02,-4.218470984786772169e+04,-4.218470984786772169e+04,-4.218925537099510257e+04,-1.572087033250772947e+01,-1.572087033250772947e+01,-2.151235042478919240e+03,-2.151235042478919240e+03,-3.022100223208663117e+00,-2.147131007423481151e+03
2.982456140350876922e+03,8.000000000000000000e+02,-4.218467042193727684e+04,-4.218467042193727684e+04,-4.218933409941498394e+04,-1.570565954369476458e+01,-1.570565954369476458e+01,-2.151197069885794917e+03,-2.151197069885794917e+03,-3.058185104750624106e+00,-2.147201412746667756e+03
2.932330827067668906e+03,8.000000000000000000e+02,-4.218463331762720190e+04,-4.218463331762720190e+04,-4.218940819372902479e+04,-1.568977257123515301e+01,-1.568977257123515301e+01,-2.151156520430396085e+03,-2.151156520430396085e+03,-3.096118339435951050e+00,-2.147276466674004041e+03
